tweet_id,author_id,text,like_count,company_name,quote_count,reply_count,retweet_count,created_at
1470385774138961926,1115694404008796160,"8/ In September, Amazon warehouse workers in NYC were told to report to work during ""dangerous and life-threatening"" flash floods following hurricane Ida:
https://t.co/iTNVYZ2ye9",3,Amazon,0,1,0,2021-12-13T13:31:01.000Z
1470385772079505416,1115694404008796160,"7/ In June this year, Amazon warehouse workers in the PNW were forced to work in triple-digit temps without air conditioning during a record-shattering heatwave. 
https://t.co/Jl4x2Di9st",2,Amazon,0,1,0,2021-12-13T13:31:01.000Z
1470385770200502279,1115694404008796160,"6/ In 2018, we filed a shareholder resolution because we felt Amazon wasn’t taking the threat of climate change seriously enough. 
https://t.co/rdmaqjSSxl",3,Amazon,0,1,0,2021-12-13T13:31:00.000Z
1470385768648556545,1115694404008796160,5/ This is not the first time that Amazon’s negligence during extreme weather has resulted in worker health risks and death - this is the third time in the last 6 months Amazon has forced workers to work during life-threatening weather.,2,Amazon,0,1,0,2021-12-13T13:31:00.000Z
1470385766446649351,1115694404008796160,4/ search and rescue teams didn’t even know how many people they were trying to rescue because it was a shift change. Why was there a shift change at all during an active tornado?? https://t.co/YMjAU7jFTr,3,Amazon,0,1,0,2021-12-13T13:30:59.000Z
1470385764907298821,1115694404008796160,"3/ Amazon also bans workers from bringing cell phones into the facilities, preventing workers from getting extreme event warnings or reliable sources of information. In addition,
https://t.co/L8tdMOOasp",3,Amazon,0,1,0,2021-12-13T13:30:59.000Z
1470385763011420160,1115694404008796160,"2/ In this region known as “Tornado Alley,” Amazon has NOT built any storm shelters in this warehouse (built in 2016).
https://t.co/VSqWeU30lX",4,Amazon,0,1,0,2021-12-13T13:30:59.000Z
1470385760754880517,1115694404008796160,"1/ We are heartbroken &amp; horrified by the deaths of 6 Amazon workers in IL w/ many more injured after a tornado blew thru a warehouse. Amazon has a history of knowingly putting workers in harm’s way &amp; this serves as another terrible example. #AmazonTornado
https://t.co/WdyVRUf2PB",42,Amazon,1,1,16,2021-12-13T13:30:58.000Z
1464255198755446787,1115694404008796160,"10/ As we've said before, we will not be silenced. Stay loud and #MakeAmazonPay. If you're a worker and you want to get involved, DM us!
https://t.co/qfay5cedle",5,Amazon,0,0,1,2021-11-26T15:30:18.000Z
1464255196154978305,1115694404008796160,"9/""As a software engineer in AWS, I don't usually get the chance to connect with workers outside of our Seattle HQ. I'm excited about this Global Day of Action because it's a chance to stand together and hear what matters to Amazon workers across all roles and locations."" -Sr.SDE",5,Amazon,0,1,0,2021-11-26T15:30:17.000Z
1464255193697107982,1115694404008796160,"8/ ""Amazon offers Black Friday shoppers great convenience by passing C02 costs onto my kids' futures. Despite the 2019 pledge to be zero carbon by 2040 their footprint has *grown* 19%. I implore Amazon to take its broad responsibility seriously/urgently."" -Amazon Data Scientist",6,Amazon,0,1,2,2021-11-26T15:30:17.000Z
