tweet_id,author_id,text,tweet_type,like_count,company_name,quote_count,reply_count,retweet_count,created_at
tweet_id,author_id,text,tweet_type,like_count,company_name,quote_count,reply_count,retweet_count,created_at
1578057695252324356,2293315159,"💙 I hope you'll take the time to learn about some of our inspiring Latinx @ObamaFoundation employees.

Like Cristina shares, “Latinx stories are vital to the fabric of our country and they have the power to make us rethink the concepts of race and ethnicity in the U.S.” https://t.co/Rlvm21Q3px",retweeted,0,ObamaFoundation,0,0,28,2022-10-06T16:20:48.000Z
1578053420925304834,2293315159,"Members of the #Latinx community not only hold crucial positions across our organization, they bring a unique perspective that shapes our work every day. This #LatinxHeritageMonth, we asked several of our team members to share their stories. Take a look: 
https://t.co/NkA0hbnSNw",,111,ObamaFoundation,2,8,41,2022-10-06T16:03:49.000Z
1577428821590282242,2293315159,"We are saddened by the loss of Loretta Lynn. In 2013 President Obama awarded her the Presidential Medal of Freedom, noting she ""opened doors for women not only by winning tremendous achievements, but also by raising issues few dared to discuss.” https://t.co/ar2tVkkQYR",,3204,ObamaFoundation,13,74,378,2022-10-04T22:41:52.000Z
1577362996149501957,2293315159,"Hurricane Ian made landfall as a Category 4 storm last week, causing catastrophic damage and widespread flooding. The recovery process will take years—but the need for help on the ground is urgent. If you’re able, please consider helping: https://t.co/lxDCToI39f",,175,ObamaFoundation,5,8,66,2022-10-04T18:20:18.000Z
1577300592933933057,2293315159,"To date, we have over 850 #ObamaLeaders in our network, hailing from over 100 nations and territories. And we're just getting started.
 
We are now accepting applications for our next cohorts in Africa, Asia-Pacific, and Europe. Find out more: https://t.co/EOOdrpg3dy https://t.co/O4CWib9cVY",,134,ObamaFoundation,14,22,61,2022-10-04T14:12:20.000Z
1576934147074899968,2293315159,"Happy anniversary to the man I love! These last 30 years have been an adventure, and I’m grateful to have you by my side. Here’s to a lifetime together. I love you, @BarackObama! ❤️😘 https://t.co/HcDjbLl2x6",retweeted,0,ObamaFoundation,0,0,16470,2022-10-03T13:56:13.000Z
1576934123658416129,2293315159,"Miche, After 30 years, I’m not sure why you look exactly the same and I don’t. I do know that I won the lottery that day—that I couldn’t have asked for a better life partner. Happy anniversary, sweetheart! https://t.co/sYGKPOff1O",retweeted,0,ObamaFoundation,0,0,34627,2022-10-03T13:56:07.000Z
1576627751268028416,2293315159,"Take a look at the progress of the Obama Presidential Center, the people shaping it, and the investment we are making to the place that we call home.
https://t.co/jIFGK7TCZn",replied_to,158,ObamaFoundation,1,7,39,2022-10-02T17:38:42.000Z
1576627582128492545,2293315159,His speech would prove an important moment in his race for Senate and later the presidency. The Obama Presidential Center will feature this and other pivotal events that shaped the Obamas' journey in the context of American history—while challenging visitors to write their own.,replied_to,148,ObamaFoundation,3,7,29,2022-10-02T17:38:02.000Z
1576627348903960579,2293315159,"20 years ago today, then-State Senator @BarackObama declared his opposition to the war in Iraq at a rally in Chicago. At the time, polls showed a majority of the public—including many leaders of his own party—supported the invasion. https://t.co/CXhou8MEQa",,640,ObamaFoundation,20,48,120,2022-10-02T17:37:06.000Z
1576626938617028608,2293315159,"Happy 98th birthday, President Carter! Your dedication to public service and the work you and the @CarterCenter have done to lift up others is an example we should all follow. https://t.co/3bJl9RyUN0",retweeted,0,ObamaFoundation,0,0,10125,2022-10-02T17:35:29.000Z
1575495861294940161,2293315159,"The center will serve as a space for neighbors to access information related to the Obama Presidential Center, participate in career development workshops, and learn about our apprenticeship programs.
 
Thank you to everyone who helped us bring the center to life in Woodlawn! https://t.co/gin3h7FMNu",replied_to,115,ObamaFoundation,0,15,34,2022-09-29T14:40:59.000Z
1575495387166613504,2293315159,"Yesterday, we joined the Lakeside Alliance, elected officials, business owners, and members of the Obama Presidential Center workforce communities for a special ribbon cutting to celebrate the opening of the Lakeside Alliance Resource Center in Woodlawn! https://t.co/SNEe0tdjsQ",,213,ObamaFoundation,2,27,55,2022-09-29T14:39:06.000Z
1575161321867411457,2293315159,"It’s been one year since we officially broke ground on the Obama Presidential Center, and I couldn’t be prouder of the progress we’ve made so far. https://t.co/zdqPdrdrpU",retweeted,0,ObamaFoundation,0,0,2121,2022-09-28T16:31:38.000Z
1575129122942189572,2293315159,"A year ago today, we broke ground for the Obama Presidential Center—symbolizing the beginning of a new chapter for a neighborhood so close to where I grew up. But at the @ObamaFoundation, we're doing things differently as we build this world-class center.
 
Here's how: https://t.co/ax1aTFwNDT",retweeted,0,ObamaFoundation,0,0,75,2022-09-28T14:23:42.000Z
1575126095745236992,2293315159,"One year ago today, after a tremendous amount of hard work, dedication, and support from our Chicago neighbors and people from all around the world, we broke ground on the Obama Presidential Center.
 
Take a look back at that exciting day in Jackson Park! https://t.co/1fbv7gSskK",,339,ObamaFoundation,5,34,82,2022-09-28T14:11:40.000Z
1574476382062743552,2293315159,"This summer, @MBK_Alliance awarded grants to 51 organizations working hard to make a difference for young boys and men of color across the country. 

You can learn more about them here: https://t.co/au5Xa0uyGW https://t.co/Y5qvG0TSQY",retweeted,0,ObamaFoundation,0,0,664,2022-09-26T19:09:56.000Z
